,height,weight,label,predict
832,120,69,fat,thin
833,131,80,fat,normal
834,195,75,normal,normal
835,167,57,normal,fat
836,142,46,normal,normal
837,183,79,normal,fat
838,160,56,normal,normal
839,159,76,fat,normal
840,156,47,normal,normal
841,167,45,thin,normal
842,156,40,thin,thin
843,134,59,fat,fat
844,185,79,normal,thin
845,129,40,normal,fat
846,171,37,thin,thin
847,145,63,fat,thin
848,199,65,thin,fat
849,165,44,thin,fat
850,164,65,normal,fat
851,188,79,normal,thin
852,139,38,normal,normal
853,153,64,fat,thin
854,200,70,thin,thin
855,132,45,fat,normal
856,124,36,normal,fat
857,164,48,thin,thin
858,177,57,thin,thin
859,182,51,thin,normal
860,126,69,fat,thin
861,138,39,normal,thin
862,183,40,thin,thin
863,182,49,thin,thin
864,160,41,thin,fat
865,133,73,fat,normal
866,131,53,fat,thin
867,148,54,normal,thin
868,177,37,thin,fat
869,176,60,normal,normal
870,178,41,thin,thin
871,167,54,normal,fat
872,196,66,thin,thin
873,185,63,thin,normal
874,151,78,fat,fat
875,156,75,fat,fat
876,167,42,thin,thin
877,153,45,normal,normal
878,185,46,thin,normal
879,149,80,fat,normal
880,154,46,normal,fat
881,200,57,thin,normal
882,152,52,normal,normal
883,183,80,normal,normal
884,128,43,fat,normal
885,191,51,thin,thin
886,185,59,thin,thin
887,161,47,thin,normal
888,188,45,thin,thin
889,185,52,thin,normal
890,126,44,fat,normal
891,177,49,thin,fat
892,144,73,fat,fat
893,158,40,thin,fat
894,158,74,fat,thin
895,164,51,normal,fat
896,144,42,normal,fat
897,170,76,fat,thin
898,179,68,normal,normal
899,180,45,thin,thin
900,146,39,thin,normal
901,147,70,fat,thin
902,186,79,normal,thin
903,169,57,normal,fat
904,163,78,fat,normal
905,124,77,fat,fat
906,157,39,thin,thin
907,134,73,fat,thin
908,161,47,thin,thin
909,185,69,normal,fat
910,153,75,fat,fat
911,167,39,thin,fat
912,180,64,normal,fat
913,156,40,thin,normal
914,145,76,fat,fat
915,168,63,normal,fat
916,127,61,fat,thin
917,132,58,fat,thin
918,127,66,fat,thin
919,165,47,thin,fat
920,188,36,thin,normal
921,182,58,thin,thin
922,190,52,thin,thin
923,122,36,normal,fat
924,195,56,thin,fat
925,156,58,normal,thin
926,142,73,fat,normal
927,178,38,thin,normal
928,188,47,thin,fat
929,129,76,fat,normal
930,141,58,fat,fat
931,165,49,thin,normal
932,128,57,fat,normal
933,136,37,normal,fat
934,171,50,thin,normal
935,197,57,thin,thin
936,175,74,normal,normal
937,172,65,normal,normal
938,155,58,normal,normal
939,172,72,normal,normal
940,195,42,thin,thin
941,172,37,thin,normal
942,121,67,fat,thin
943,133,37,normal,fat
944,127,39,normal,thin
945,122,57,fat,normal
946,159,64,fat,thin
947,123,72,fat,normal
948,136,49,fat,fat
949,157,54,normal,thin
950,179,79,normal,fat
951,186,40,thin,fat
952,140,70,fat,normal
953,181,70,normal,fat
954,163,65,normal,thin
955,156,72,fat,thin
956,183,48,thin,thin
957,141,76,fat,fat
958,149,72,fat,fat
959,160,38,thin,thin
960,172,36,thin,fat
961,172,71,normal,fat
962,169,66,normal,normal
963,158,44,thin,normal
964,189,37,thin,thin
965,190,52,thin,thin
966,188,42,thin,fat
967,168,73,fat,normal
968,142,76,fat,normal
969,141,70,fat,fat
970,120,42,fat,normal
971,191,38,thin,thin
972,172,61,normal,thin
973,167,51,thin,fat
974,146,55,fat,fat
975,154,38,thin,fat
976,139,80,fat,thin
977,120,53,fat,normal
978,196,50,thin,fat
979,200,64,thin,normal
980,165,75,fat,normal
981,142,45,normal,thin
982,161,78,fat,thin
983,180,55,thin,fat
984,190,66,thin,normal
985,162,62,normal,fat
986,171,56,normal,normal
987,159,59,normal,thin
988,137,39,normal,normal
989,133,70,fat,thin
990,186,65,normal,thin
991,187,57,thin,fat
992,191,80,normal,thin
993,120,75,fat,fat
994,147,68,fat,thin
995,164,43,thin,fat
996,152,45,normal,thin
997,130,78,fat,thin
998,162,69,fat,thin
999,177,58,normal,normal
1000,154,67,fat,fat
1001,174,50,thin,normal
1002,128,56,fat,fat
1003,182,44,thin,fat
1004,151,72,fat,fat
1005,155,79,fat,normal
1006,189,47,thin,thin
1007,174,37,thin,thin
1008,145,77,fat,thin
1009,142,66,fat,fat
1010,164,39,thin,fat
1011,122,36,normal,normal
1012,171,75,fat,thin
1013,141,75,fat,normal
1014,168,46,thin,fat
1015,196,73,normal,thin
1016,123,69,fat,fat
1017,183,35,thin,thin
1018,177,52,thin,fat
1019,169,66,normal,fat
1020,121,39,fat,fat
1021,143,71,fat,thin
1022,159,68,fat,normal
1023,194,66,thin,thin
1024,188,47,thin,thin
1025,168,55,normal,fat
1026,170,52,thin,thin
1027,185,48,thin,fat
1028,144,64,fat,normal
1029,189,75,normal,thin
1030,164,44,thin,fat
1031,162,67,fat,fat
1032,145,53,fat,fat
1033,194,69,thin,thin
1034,190,75,normal,fat
1035,191,38,thin,fat
1036,121,59,fat,normal
1037,153,55,normal,fat
1038,187,48,thin,normal
1039,191,44,thin,normal
1040,160,71,fat,normal
1041,180,40,thin,fat
1042,170,54,normal,fat
1043,181,55,thin,fat
1044,146,39,thin,fat
1045,142,65,fat,thin
1046,173,59,normal,thin
1047,129,59,fat,normal
1048,157,79,fat,fat
1049,170,51,thin,normal
1050,167,54,normal,fat
1051,191,39,thin,normal
1052,183,63,normal,normal
1053,157,40,thin,fat
1054,159,40,thin,normal
1055,184,47,thin,normal
1056,197,56,thin,fat
1057,165,53,normal,thin
1058,196,59,thin,thin
1059,198,79,normal,normal
1060,128,65,fat,fat
1061,122,69,fat,thin
1062,144,78,fat,fat
1063,186,56,thin,fat
1064,158,38,thin,normal
1065,197,65,thin,thin
1066,161,72,fat,fat
1067,130,41,normal,thin
1068,170,38,thin,thin
1069,146,67,fat,fat
1070,131,79,fat,fat
1071,150,80,fat,thin
1072,169,38,thin,fat
1073,167,51,thin,thin
1074,194,41,thin,normal
1075,173,41,thin,fat
1076,136,50,fat,fat
1077,184,79,normal,thin
1078,182,59,thin,fat
1079,176,61,normal,normal
1080,143,61,fat,normal
1081,148,70,fat,fat
1082,166,79,fat,normal
1083,156,64,fat,fat
1084,178,66,normal,normal
1085,135,62,fat,fat
1086,148,72,fat,fat
1087,176,45,thin,thin
1088,130,51,fat,fat
1089,193,75,normal,thin
1090,164,68,fat,fat
1091,156,36,thin,fat
1092,165,48,thin,thin
1093,139,68,fat,fat
1094,172,56,normal,thin
1095,152,77,fat,thin
1096,135,70,fat,fat
1097,148,45,normal,fat
1098,200,56,thin,normal
1099,200,68,thin,normal
1100,183,78,normal,thin
1101,196,72,normal,thin
1102,175,37,thin,fat
1103,136,73,fat,normal
1104,196,44,thin,fat
1105,184,41,thin,thin
1106,176,53,thin,fat
1107,162,55,normal,normal
1108,165,65,normal,normal
1109,122,46,fat,fat
1110,149,51,normal,normal
1111,121,59,fat,thin
1112,190,42,thin,thin
1113,173,60,normal,normal
1114,135,36,normal,fat
1115,167,69,normal,fat
1116,182,49,thin,thin
1117,196,76,normal,thin
1118,147,42,normal,fat
1119,149,51,normal,normal
1120,136,36,normal,fat
1121,166,75,fat,normal
1122,200,61,thin,fat
1123,181,44,thin,normal
1124,146,76,fat,fat
1125,143,60,fat,fat
1126,120,67,fat,normal
1127,120,75,fat,fat
1128,132,37,normal,normal
1129,180,50,thin,thin
1130,132,49,fat,thin
1131,134,39,normal,thin
1132,139,48,normal,fat
1133,170,72,normal,normal
1134,179,80,normal,thin
1135,145,77,fat,fat
1136,178,79,normal,thin
1137,136,53,fat,thin
1138,174,40,thin,thin
1139,167,59,normal,fat
1140,193,57,thin,thin
1141,180,35,thin,fat
1142,125,35,normal,normal
1143,127,56,fat,fat
1144,130,44,fat,normal
1145,172,57,normal,fat
1146,139,80,fat,thin
1147,198,80,normal,thin
1148,182,57,thin,fat
1149,182,50,thin,fat
1150,141,68,fat,normal
1151,123,36,normal,fat
